id,user_id,quiz_id,score,created_at,created_by
74,3,73,84,2025-03-03 10:47:22,3
75,70,45,16,2025-01-26 10:47:22,70
76,17,38,31,2024-07-06 10:47:22,17
77,15,91,31,2024-08-15 10:47:22,15
78,86,105,55,2025-01-22 10:47:22,86
79,84,111,52,2024-08-15 10:47:22,84
80,73,63,23,2024-10-16 10:47:22,73
81,32,16,80,2024-06-08 10:47:22,32
82,26,36,84,2024-07-16 10:47:22,26
83,52,13,12,2024-09-14 10:47:22,52
84,17,5,94,2024-07-29 10:47:22,17
85,24,1,57,2024-03-26 10:47:22,24
86,44,85,54,2024-10-17 10:47:22,44
87,72,115,23,2025-02-23 10:47:22,72
88,58,44,29,2024-12-17 10:47:22,58
89,58,41,33,2024-04-04 10:47:22,58
90,80,105,51,2025-03-04 10:47:22,80
91,10,34,73,2025-01-14 10:47:22,10
92,91,14,91,2024-07-26 10:47:22,91
93,5,55,46,2025-03-07 10:47:22,5
94,67,50,41,2024-08-08 10:47:22,67
95,30,88,15,2024-09-09 10:47:22,30
96,97,57,38,2024-11-15 10:47:22,97
97,72,58,89,2024-10-10 10:47:22,72
98,27,95,94,2024-11-08 10:47:22,27
99,37,3,29,2024-04-15 10:47:22,37
100,7,24,71,2024-08-03 10:47:22,7
101,86,13,24,2024-10-08 10:47:22,86
102,95,91,78,2024-11-04 10:47:22,95
103,100,91,82,2025-02-07 10:47:22,100
104,36,47,99,2025-01-23 10:47:22,36
105,67,37,71,2024-09-18 10:47:22,67
106,30,8,23,2024-08-12 10:47:22,30
107,91,13,33,2024-05-04 10:47:22,91
108,64,57,13,2024-08-27 10:47:22,64
109,51,82,52,2024-11-07 10:47:22,51
110,65,97,37,2025-01-28 10:47:22,65
111,42,37,60,2025-01-31 10:47:22,42
112,29,101,45,2024-05-16 10:47:22,29
113,58,107,14,2024-03-31 10:47:22,58
114,84,95,20,2024-12-21 10:47:22,84
115,4,16,40,2024-10-30 10:47:22,4
116,26,31,57,2024-12-29 10:47:22,26
117,83,85,6,2024-07-17 10:47:22,83
118,36,17,14,2024-03-28 10:47:22,36
119,7,52,6,2024-12-16 10:47:22,7
120,19,95,87,2024-07-16 10:47:22,19
121,51,82,62,2025-01-05 10:47:22,51
122,63,70,27,2024-04-04 10:47:22,63
123,21,56,35,2025-03-04 10:47:22,21
124,21,106,48,2024-12-11 10:47:22,21
125,37,89,79,2024-09-18 10:47:22,37
126,46,67,71,2025-01-09 10:47:22,46
127,53,111,63,2024-06-24 10:47:22,53
128,93,16,99,2024-05-20 10:47:22,93
129,59,40,7,2024-10-14 10:47:22,59
130,21,85,57,2025-03-01 10:47:22,21
131,63,69,41,2025-03-04 10:47:22,63
132,59,92,82,2025-03-02 10:47:22,59
133,41,40,26,2024-05-27 10:47:22,41
134,92,23,72,2024-05-10 10:47:22,92
135,20,79,12,2024-08-29 10:47:22,20
136,95,1,11,2025-02-27 10:47:22,95
137,47,87,81,2025-01-27 10:47:22,47
138,48,88,11,2024-06-09 10:47:22,48
139,39,3,50,2025-01-12 10:47:22,39
140,8,97,48,2024-06-09 10:47:22,8
