id,user_id,activity_type,activity,created_at,created_by
30,11,liked_quiz,"{""quiz_id"": 92}",2025-02-25 10:47:22,26
31,43,liked_quiz,"{""quiz_id"": 103}",2025-02-16 10:47:22,40
32,34,created_quiz,"{""quiz_id"": 101}",2024-07-21 10:47:22,14
33,91,liked_quiz,"{""quiz_id"": 41}",2024-05-02 10:47:22,69
34,24,updated_quiz,"{""quiz_id"": 99}",2024-06-23 10:47:22,45
35,83,liked_quiz,"{""quiz_id"": 115}",2024-12-31 10:47:22,29
36,92,updated_quiz,"{""quiz_id"": 4}",2024-03-21 10:47:22,13
37,73,liked_quiz,"{""quiz_id"": 78}",2024-06-09 10:47:22,97
38,95,created_quiz,"{""quiz_id"": 38}",2024-10-17 10:47:22,35
39,78,liked_quiz,"{""quiz_id"": 14}",2024-11-01 10:47:22,28
40,22,created_quiz,"{""quiz_id"": 64}",2024-06-15 10:47:22,29
41,40,updated_quiz,"{""quiz_id"": 28}",2024-10-09 10:47:22,37
42,9,liked_quiz,"{""quiz_id"": 71}",2024-04-15 10:47:22,20
43,97,updated_quiz,"{""quiz_id"": 57}",2025-02-13 10:47:22,4
44,49,liked_quiz,"{""quiz_id"": 92}",2024-05-20 10:47:22,89
45,38,liked_quiz,"{""quiz_id"": 77}",2025-03-11 10:47:22,2
46,10,liked_quiz,"{""quiz_id"": 66}",2024-11-15 10:47:22,46
47,97,created_quiz,"{""quiz_id"": 56}",2024-07-03 10:47:22,37
48,30,updated_quiz,"{""quiz_id"": 33}",2024-09-17 10:47:22,31
49,41,liked_quiz,"{""quiz_id"": 35}",2024-10-19 10:47:22,35
50,57,liked_quiz,"{""quiz_id"": 57}",2025-02-02 10:47:22,4
51,26,liked_quiz,"{""quiz_id"": 40}",2024-11-22 10:47:22,89
52,15,updated_quiz,"{""quiz_id"": 99}",2024-05-02 10:47:22,99
53,1,created_quiz,"{""quiz_id"": 120}",2024-08-17 10:47:22,61
54,89,liked_quiz,"{""quiz_id"": 102}",2025-01-31 10:47:22,74
55,42,updated_quiz,"{""quiz_id"": 21}",2024-07-12 10:47:22,9
56,35,created_quiz,"{""quiz_id"": 27}",2024-05-01 10:47:22,83
57,52,updated_quiz,"{""quiz_id"": 12}",2024-05-17 10:47:22,29
58,93,liked_quiz,"{""quiz_id"": 56}",2024-12-29 10:47:22,18
59,81,updated_quiz,"{""quiz_id"": 86}",2024-11-17 10:47:22,26
60,33,liked_quiz,"{""quiz_id"": 23}",2024-08-24 10:47:22,72
61,47,liked_quiz,"{""quiz_id"": 112}",2024-08-30 10:47:22,88
62,56,liked_quiz,"{""quiz_id"": 100}",2024-04-17 10:47:22,80
63,56,updated_quiz,"{""quiz_id"": 89}",2025-03-15 10:47:22,91
64,17,liked_quiz,"{""quiz_id"": 21}",2024-03-28 10:47:22,29
65,63,liked_quiz,"{""quiz_id"": 55}",2024-04-22 10:47:22,61
66,38,updated_quiz,"{""quiz_id"": 34}",2024-12-03 10:47:22,16
67,8,created_quiz,"{""quiz_id"": 75}",2025-01-28 10:47:22,59
68,73,created_quiz,"{""quiz_id"": 57}",2024-04-12 10:47:22,73
69,47,liked_quiz,"{""quiz_id"": 92}",2024-10-16 10:47:22,65
70,81,liked_quiz,"{""quiz_id"": 111}",2025-01-26 10:47:22,35
71,68,updated_quiz,"{""quiz_id"": 62}",2024-12-10 10:47:22,87
72,45,liked_quiz,"{""quiz_id"": 23}",2024-09-11 10:47:22,72
73,41,updated_quiz,"{""quiz_id"": 94}",2024-05-04 10:47:22,36
74,28,liked_quiz,"{""quiz_id"": 98}",2024-03-20 10:47:22,22
75,6,liked_quiz,"{""quiz_id"": 75}",2025-02-12 10:47:22,50
76,80,created_quiz,"{""quiz_id"": 38}",2024-09-25 10:47:22,11
77,28,created_quiz,"{""quiz_id"": 68}",2025-01-29 10:47:22,18
78,80,updated_quiz,"{""quiz_id"": 51}",2024-03-26 10:47:22,31
79,21,liked_quiz,"{""quiz_id"": 31}",2025-01-06 10:47:22,99
80,12,liked_quiz,"{""quiz_id"": 103}",2024-05-22 10:47:22,23
81,55,liked_quiz,"{""quiz_id"": 102}",2024-10-01 10:47:22,36
82,87,liked_quiz,"{""quiz_id"": 62}",2025-01-23 10:47:22,60
83,96,liked_quiz,"{""quiz_id"": 3}",2024-09-29 10:47:22,37
84,88,updated_quiz,"{""quiz_id"": 109}",2024-06-27 10:47:22,99
85,2,updated_quiz,"{""quiz_id"": 17}",2025-02-22 10:47:22,74
86,36,updated_quiz,"{""quiz_id"": 38}",2024-08-21 10:47:22,78
87,73,created_quiz,"{""quiz_id"": 92}",2024-05-26 10:47:22,84
88,76,liked_quiz,"{""quiz_id"": 73}",2024-06-12 10:47:22,97
89,30,liked_quiz,"{""quiz_id"": 83}",2024-07-04 10:47:22,49
90,64,liked_quiz,"{""quiz_id"": 100}",2024-10-24 10:47:22,89
91,88,updated_quiz,"{""quiz_id"": 99}",2024-09-22 10:47:22,36
92,75,liked_quiz,"{""quiz_id"": 15}",2025-01-09 10:47:22,21
93,44,updated_quiz,"{""quiz_id"": 104}",2025-01-12 10:47:22,51
94,5,liked_quiz,"{""quiz_id"": 101}",2024-07-10 10:47:22,36
95,24,updated_quiz,"{""quiz_id"": 54}",2024-04-21 10:47:22,63
96,50,created_quiz,"{""quiz_id"": 113}",2024-03-24 10:47:22,77
97,3,liked_quiz,"{""quiz_id"": 48}",2025-03-02 10:47:22,80
98,76,updated_quiz,"{""quiz_id"": 23}",2024-03-21 10:47:22,67
99,18,liked_quiz,"{""quiz_id"": 28}",2024-10-08 10:47:22,73
100,85,liked_quiz,"{""quiz_id"": 109}",2024-04-24 10:47:22,41
101,36,updated_quiz,"{""quiz_id"": 36}",2024-09-16 10:47:22,33
102,49,liked_quiz,"{""quiz_id"": 11}",2024-12-23 10:47:22,51
103,16,liked_quiz,"{""quiz_id"": 95}",2024-09-12 10:47:22,50
104,99,liked_quiz,"{""quiz_id"": 84}",2024-06-11 10:47:22,93
105,78,liked_quiz,"{""quiz_id"": 67}",2024-04-21 10:47:22,69
106,97,liked_quiz,"{""quiz_id"": 102}",2025-02-15 10:47:22,70
107,66,liked_quiz,"{""quiz_id"": 118}",2024-05-29 10:47:22,19
108,49,created_quiz,"{""quiz_id"": 30}",2025-02-26 10:47:22,10
109,36,created_quiz,"{""quiz_id"": 57}",2024-10-30 10:47:22,92
110,35,liked_quiz,"{""quiz_id"": 89}",2025-01-26 10:47:22,78
111,31,liked_quiz,"{""quiz_id"": 89}",2024-05-22 10:47:22,83
112,76,created_quiz,"{""quiz_id"": 4}",2025-01-08 10:47:22,37
113,63,liked_quiz,"{""quiz_id"": 103}",2024-06-13 10:47:22,91
114,64,liked_quiz,"{""quiz_id"": 25}",2024-04-02 10:47:22,94
115,22,created_quiz,"{""quiz_id"": 105}",2024-03-29 10:47:22,23
116,75,created_quiz,"{""quiz_id"": 55}",2024-09-20 10:47:22,8
117,28,updated_quiz,"{""quiz_id"": 56}",2024-11-24 10:47:22,97
118,96,liked_quiz,"{""quiz_id"": 105}",2025-03-09 10:47:22,91
119,43,liked_quiz,"{""quiz_id"": 36}",2024-08-20 10:47:22,88
120,19,liked_quiz,"{""quiz_id"": 95}",2024-06-26 10:47:22,75
121,96,updated_quiz,"{""quiz_id"": 115}",2024-08-29 10:47:22,62
122,60,liked_quiz,"{""quiz_id"": 79}",2024-05-01 10:47:22,96
123,56,liked_quiz,"{""quiz_id"": 27}",2024-08-09 10:47:22,31
124,67,updated_quiz,"{""quiz_id"": 23}",2024-06-08 10:47:22,75
125,14,liked_quiz,"{""quiz_id"": 37}",2024-05-23 10:47:22,95
126,5,created_quiz,"{""quiz_id"": 117}",2024-11-02 10:47:22,18
127,6,updated_quiz,"{""quiz_id"": 32}",2024-09-08 10:47:22,13
128,19,liked_quiz,"{""quiz_id"": 112}",2024-12-16 10:47:22,41
129,54,updated_quiz,"{""quiz_id"": 55}",2024-09-21 10:47:22,25
130,92,liked_quiz,"{""quiz_id"": 53}",2025-02-06 10:47:22,97
131,37,updated_quiz,"{""quiz_id"": 42}",2024-07-02 10:47:22,5
132,78,liked_quiz,"{""quiz_id"": 79}",2024-11-06 10:47:22,73
133,23,liked_quiz,"{""quiz_id"": 31}",2024-04-10 10:47:22,60
134,5,liked_quiz,"{""quiz_id"": 7}",2024-06-22 10:47:22,22
135,4,liked_quiz,"{""quiz_id"": 81}",2025-03-08 10:47:22,94
136,77,updated_quiz,"{""quiz_id"": 93}",2024-07-08 10:47:22,28
137,67,updated_quiz,"{""quiz_id"": 47}",2024-11-10 10:47:22,10
138,99,liked_quiz,"{""quiz_id"": 52}",2024-11-06 10:47:22,49
139,29,created_quiz,"{""quiz_id"": 109}",2024-08-10 10:47:22,83
140,1,liked_quiz,"{""quiz_id"": 120}",2024-12-18 10:47:22,76
141,41,liked_quiz,"{""quiz_id"": 78}",2025-03-15 10:47:22,40
142,89,liked_quiz,"{""quiz_id"": 45}",2024-05-12 10:47:22,83
143,63,liked_quiz,"{""quiz_id"": 13}",2024-10-06 10:47:22,28
144,8,liked_quiz,"{""quiz_id"": 79}",2024-10-04 10:47:22,31
145,52,updated_quiz,"{""quiz_id"": 62}",2025-02-23 10:47:22,100
146,79,created_quiz,"{""quiz_id"": 3}",2025-02-25 10:47:22,26
147,86,liked_quiz,"{""quiz_id"": 29}",2024-12-12 10:47:22,84
148,6,liked_quiz,"{""quiz_id"": 90}",2024-08-15 10:47:22,49
149,31,updated_quiz,"{""quiz_id"": 59}",2024-10-06 10:47:22,36
150,50,liked_quiz,"{""quiz_id"": 101}",2024-11-14 10:47:22,53
